Tên Sản Phẩm,Giá (VNĐ),Đã Bán,Tên Shop,Shop ID,Link Sản Phẩm
Surface Laptop 3 | Core i5-1035G7 | Ram 8GB | SSD 256GB | 13.5 inch cảm ứng đẳng cấp doanh nhân TD,9294333,1,Shop_ID_16449163,16449163,https://shopee.vn/Surface-Laptop-3--Core-i5-1035G7--Ram-8GB--SSD-256GB--135-inch-cm-ng-ng-cp-doanh-nhn-TD-i.16449163.54202215610
"ASUS TUF GAMING FX505DY, RYZEN 5 3550H, 8G, SSD 256G, RX 560X 4G, MÀN 15.6IN FHD IPS TRÀN VIỀN 120HZ, LED ĐỎ, PIN 3H",8100000,1,Shop_ID_250780405,250780405,https://shopee.vn/ASUS-TUF-GAMING-FX505DY-RYZEN-5-3550H-8G-SSD-256G-RX-560X-4G-MN-156IN-FHD-IPS-TRN-VIN-120HZ-LED--PIN-3H-i.250780405.47857290148
Laptop CMS văn phòng cực bền thanh lý văn phòng,1599000,3,Shop_ID_38429506,38429506,https://shopee.vn/Laptop-CMS-vn-phng-cc-bn-thanh-l-vn-phng-i.38429506.750960823
Laptop Lenovo Thinkpad L390 | I3/I5 THẾ HỆ (GEN) 8/10 | Ram 8GB | SSD 256GB | 13.3 inch,4999999,2,Shop_ID_81687671,81687671,https://shopee.vn/Laptop-Lenovo-Thinkpad-L390--I3I5-TH-H-GEN-810--Ram-8GB--SSD-256GB--133-inch-i.81687671.26353866887
Laptop cũ Lenovo K4e AMD Ryzen 5 4600u 5600u giá rẻ hiệu năng cực tốt hơn hẳn laptop intel cùng tầm giá | IZZYGAME,5290000,67,Shop_ID_973369335,973369335,https://shopee.vn/Laptop-c-Lenovo-K4e-AMD-Ryzen-5-4600u-5600u-gi-r-hiu-nng-cc-tt-hn-hn-laptop-intel-cng-tm-gi--IZZYGAME-i.973369335.43173172973
Laptop Dell Inspiron 3520 (25P2312) i5 1235U|16GB|512GB|15.6”| Win 11. hàng cũ bảo hành 12 Tháng.,16950000,0,Shop_ID_1499956970,1499956970,https://shopee.vn/Laptop-Dell-Inspiron-3520-25P2312-i5-1235U16GB512GB156-Win-11-hng-c-bo-hnh-12-Thng-i.1499956970.44228963809
Dell XPS 13 7390  Core i5-10210U / RAM 16GB / SSD 256GB / Màn 13.3 inch FHD 1920x1080,12000000,0,Shop_ID_96461069,96461069,https://shopee.vn/Dell-XPS-13-7390--Core-i5-10210U--RAM-16GB--SSD-256GB--Mn-133-inch-FHD-1920x1080-i.96461069.43901332725
[Chỉ GH tận nơi] Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11,14870000,97,Shop_ID_1431261217,1431261217,https://shopee.vn/Ch-GH-tn-ni-Laptop-HP-14s-em0086AU-R5-7520U16GB512GB14FHDAMD-Radeon-GraphicsWin11-i.1431261217.41152805402
"Laptop Lenovo G40-30 sử dụng cho văn phòng, in hoá đơn online, học online",1760000,6,Shop_ID_224768122,224768122,https://shopee.vn/Laptop-Lenovo-G40-30-s-dng-cho-vn-phng-in-ho-n-online-hc-online-i.224768122.26112394632
"Laptop Asus Vivobook Go 14 E1404FA-NK177W R5-7520U/16GB/512GB/14""FHD/Win11",13500000,4,Shop_ID_1663495353,1663495353,https://shopee.vn/Laptop-Asus-Vivobook-Go-14-E1404FA-NK177W-R5-7520U16GB512GB14FHDWin11-i.1663495353.53653160885
Laptop MSI Modern 14 F13MG-250VNCP | i5-1334U | RAM 8GB | SSD 512GB | 14.0 inch Full HD IPS | New 100% Full Box,13490000,7,Shop_ID_380451070,380451070,https://shopee.vn/Laptop-MSI-Modern-14-F13MG-250VNCP--i5-1334U--RAM-8GB--SSD-512GB--140-inch-Full-HD-IPS--New-100-Full-Box-i.380451070.43465482810
[Gaming] Laptop Dell inspiron 7566 core i7 6700HQ đồ họa độc lập GTX 960M 4GB mạnh mẽ cho game thủ,6570000,5,Shop_ID_469001653,469001653,https://shopee.vn/Gaming-Laptop-Dell-inspiron-7566-core-i7-6700HQ--ha-c-lp-GTX-960M-4GB-mnh-m-cho-game-th-i.469001653.44054265036
"[FULL VAT] Dell 15 DC15250 2025 (Core i5 1334U, RAM 8GB, SSD 512GB, Màn 15.6 FHD 120Hz)",16490000,2,Shop_ID_19221765,19221765,https://shopee.vn/FULL-VAT-Dell-15-DC15250-2025-Core-i5-1334U-RAM-8GB-SSD-512GB-Mn-156-FHD-120Hz-i.19221765.26543256863
Laptop Dell inspiron 7472 Gold Core i5 8250U/ Ram 16Gb/ SSD Mvme 512Gb/ 14'' Full HD/ Hàng chọn lọc.,8650000,5,Shop_ID_504512,504512,https://shopee.vn/Laptop-Dell-inspiron-7472-Gold-Core-i5-8250U-Ram-16Gb-SSD-Mvme-512Gb-14-Full-HD-Hng-chn-lc-i.504512.23864610514
[Window 10] Laptop Asus TranformerBook T101 T100 T102 lõi tứ cảm ứng mượt lai máy tính bảng,2670000,4,Shop_ID_469001653,469001653,https://shopee.vn/Window-10-Laptop-Asus-TranformerBook-T101-T100-T102-li-t-cm-ng-mt-lai-my-tnh-bng-i.469001653.21752576880
Laptop mini dell 7280 core i5 core i7 ram 8G màn 12.5 inch mỏng nhẹ bền đẹp.,4940000,1,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-mini-dell-7280-core-i5-core-i7-ram-8G-mn-125-inch-mng-nh-bn-p-i.10859239.23712812655
"[Qua sử dụng ]Laptop Hp830g5 laptop doanh nhân body nhôm nguyên khối siêu sang, mỏng nhẹ rẻ tầm 4triệu",4890000,1,Shop_ID_18675286,18675286,https://shopee.vn/Qua-s-dng-Laptop-Hp830g5-laptop-doanh-nhn-body-nhm-nguyn-khi-siu-sang-mng-nh-r-tm-4triu-i.18675286.43506719372
Dell Latitude 7320 Detachable Core i7 1180G7 màn cảm ứng tách rời phím,16489000,2,Shop_ID_196126372,196126372,https://shopee.vn/Dell-Latitude-7320-Detachable-Core-i7-1180G7-mn-cm-ng-tch-ri-phm-i.196126372.24173368267
Laptop dell siêu chất thích hợp anh chị cần máy đẹp - giá rẻ - bền,2800000,0,Shop_ID_1253076748,1253076748,https://shopee.vn/Laptop-dell-siu-cht-thch-hp-anh-ch-cn-my-p---gi-r---bn-i.1253076748.28181128110
Laptop Asus Gaming FXPro - Core i7-6700HQ - Chính hãng,6600000,2,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-Asus-Gaming-FXPro---Core-i7-6700HQ---Chnh-hng-i.96461069.4349372821
ASUS VIVOBOOK X509JA CORE I3 1005G1 GEN 10 RAM 8G SSD 256G 15.6INCH FHD,5500000,3,Shop_ID_79999990,79999990,https://shopee.vn/ASUS-VIVOBOOK-X509JA-CORE-I3-1005G1-GEN-10-RAM-8G-SSD-256G-156INCH-FHD-i.79999990.27423732618
Laptop gaming Acer Aspire 5 15 (A515-58GM),13800000,0,Shop_ID_1736066242,1736066242,https://shopee.vn/Laptop-gaming-Acer-Aspire-5-15-A515-58GM-i.1736066242.40929140952
xác laptop lenovo G40-70 Có mọi thứ,99999,4,Shop_ID_16617149,16617149,https://shopee.vn/xc-laptop-lenovo-G40-70-C-mi-th-i.16617149.22768169312
Laptop Dell 2in1 Latitude 5310 Màn Cảm Ứng | Core i5 Gen 10 | RAM 8GB | SSD 256GB | FHD 13.3”,7500000,15,Shop_ID_1577470237,1577470237,https://shopee.vn/Laptop-Dell-2in1-Latitude-5310-Mn-Cm-ng--Core-i5-Gen-10--RAM-8GB--SSD-256GB--FHD-133-i.1577470237.40011779983
Laptop cũ Asus giá rẻ (Ram 4GB / 120GB HDD ) | Qua sử dụng,1500000,96,Shop_ID_78809155,78809155,https://shopee.vn/Laptop-c-Asus-gi-r-Ram-4GB--120GB-HDD---Qua-s-dng-i.78809155.5000077661
"Laptop Cũ Rẻ Các Hãng Ram 8Gb/SSD Core i5 - i7: Dell, HP, Asus,.. Máy Đẹp Đủ Sạc,..Dùng Full Chức Năng",2000000,5,Shop_ID_52087365,52087365,https://shopee.vn/Laptop-C-R-Cc-Hng-Ram-8GbSSD-Core-i5---i7-Dell-HP-Asus-My-p--ScDng-Full-Chc-Nng-i.52087365.19384199766
"Laptop Acer E1-571 cpu i3-3110M ram 4GB ổ cứng 500GB dùng cho văn phòng, học tập chơi game tốt",2200000,0,Shop_ID_227026239,227026239,https://shopee.vn/Laptop-Acer-E1-571-cpu-i3-3110M-ram-4GB--cng-500GB-dng-cho-vn-phng-hc-tp-chi-game-tt-i.227026239.20421488975
LAPTOP CŨ CẤU HÌNH CORE i3 - i5 - i7 PHỤC VỤ HỌC TẬP-VĂN PHÒNG-GIẢI TRÍ (VUI LÒNG ĐỌC KĨ TRƯỚC KHI MUA HÀNG),2900000,8,Shop_ID_78704495,78704495,https://shopee.vn/LAPTOP-C-CU-HNH-CORE-i3---i5---i7-PHC-V-HC-TP-VN-PHNG-GII-TR-VUI-LNG-C-K-TRC-KHI-MUA-HNG-i.78704495.19291868135
Laptop HP mỏng nhẹ rẻ,2309000,0,Shop_ID_67466959,67466959,https://shopee.vn/Laptop-HP-mng-nh-r-i.67466959.56752926434
"Laptop Asus X453SA Intel Pentium N3700, RAM 4GB, HDD 500GB or SSD 128GB, 14 inch, Trắng",3600000,0,Shop_ID_88057624,88057624,https://shopee.vn/Laptop-Asus-X453SA-Intel-Pentium-N3700-RAM-4GB-HDD-500GB-or-SSD-128GB-14-inch-Trng-i.88057624.2232057439
"Laptop MSI Modern 15 F13MG-667VN - Core i5-1334U - 16GB - 512GB - 15.6"" FHD IPS - Bảo hành 24 tháng",18290000,18,Shop_ID_469040198,469040198,https://shopee.vn/Laptop-MSI-Modern-15-F13MG-667VN---Core-i5-1334U---16GB---512GB---156-FHD-IPS---Bo-hnh-24-thng-i.469040198.41472599354
